Client_ID,Full_Name,Contact_Email,Mobile_No,Join_Date,Region_Code,Annual_Salary,Account_Status
ID-1,,,,2025-04-04,,,
C2@@,Sara,invalid-email,999999999999999,,XX,-5000,Active
,,user3@gmail.com,9398997047,2025-08-12,AP,,Inactive
C0004,Arun,,abcdefghij,2025-09-11,,82487,Pending
,Arun,user5@,12345,32/13/2025,XX,-5000,Unknown
ID-6,Karthik,user6gmail.com,9394028836,,,-5000,Active
C7@@,!!!,user7@,999999999999999,,TN,,Unknown
,12345,,abcdefghij,2025-99-99,AP,-5000,Unknown
,Karthik,user9gmail.com,,,AP,,
,Meena,invalid-email,,2025-12-26,TN,abc,Active
,Sara,user11gmail.com,,2025-99-99,XX,,Pending
C12@@,Rahul,user12@gmail.com,,32/13/2025,AP,76482,Inactive
ID-13,Divya,,,,TN,-5000,Active
C0014,Karthik,user14@gmail.com,12345,,TN,54756,Unknown
,John,user15@,,,KA,,
,John,invalid-email,999999999999999,,KA,,Pending
,Priya,user17@,9855766032,,123,-5000,Unknown
,John,user18@gmail.com,999999999999999,2025-11-06,XX,,
,Rahul,user19@gmail.com,12345,2025-09-07,XX,131392,Inactive
C0020,12345,user20@gmail.com,12345,32/13/2025,,,Active
,Rahul,user21@gmail.com,abcdefghij,32/13/2025,TN,22627,
ID-22,12345,,9693063805,2025-06-06,,60151,Pending
C23@@,!!!,user23gmail.com,12345,,,59440,Pending
C24@@,12345,user24@gmail.com,,,AP,abc,Unknown
C25@@,,invalid-email,,,123,101290,Unknown
C0026,Karthik,,,2025-06-19,AP,,
C0027,Karthik,,abcdefghij,2025-04-26,KA,abc,
,Karthik,,,2025-99-99,123,-5000,
C0029,Priya,user29@gmail.com,,,XX,-5000,Unknown
C30@@,,,,2025-99-99,XX,,Unknown
C0031,Arun,invalid-email,,,AP,abc,Active
,Meena,user32@,,,KA,,Pending
,Priya,user33@gmail.com,,32/13/2025,,,Pending
C34@@,Divya,invalid-email,999999999999999,2025-99-99,XX,-5000,Unknown
ID-35,,,,2025-11-05,XX,-5000,Unknown
ID-36,!!!,,9132125494,2025-09-26,,,Active
C0037,Priya,invalid-email,12345,2025-99-99,123,abc,Inactive
,,user38@gmail.com,abcdefghij,2025-99-99,TN,abc,Unknown
C0039,Meena,,12345,32/13/2025,KA,40391,
,12345,user40@gmail.com,9436540428,,KA,,
,Arun,user41@gmail.com,abcdefghij,,,-5000,Inactive
,!!!,user42@gmail.com,999999999999999,32/13/2025,XX,,
ID-43,!!!,,12345,2025-09-10,XX,52038,Active
C44@@,,invalid-email,abcdefghij,,XX,,Inactive
ID-45,Meena,user45gmail.com,,32/13/2025,AP,-5000,Inactive
,Rahul,user46gmail.com,,2025-99-99,KA,abc,
C0047,Divya,,12345,2025-12-09,,abc,
C0048,12345,,abcdefghij,32/13/2025,KA,69551,Unknown
C49@@,Divya,user49gmail.com,12345,,AP,-5000,
,12345,user50@gmail.com,abcdefghij,,XX,,
ID-51,!!!,user51@,12345,2025-99-99,,,
C52@@,Divya,user52@,,2025-10-11,XX,-5000,
ID-53,,,abcdefghij,32/13/2025,KA,34250,Unknown
,Rahul,user54@gmail.com,9199534371,32/13/2025,TN,146168,
ID-55,,user55gmail.com,,,TN,-5000,Inactive
,Meena,user56gmail.com,,,KA,abc,Unknown
C57@@,Sara,,abcdefghij,2025-99-99,TN,abc,Pending
C58@@,12345,user58@,12345,2025-12-23,AP,-5000,Active
,!!!,user59gmail.com,999999999999999,2025-99-99,XX,,
C60@@,Meena,user60@gmail.com,,32/13/2025,AP,,Inactive
ID-61,Divya,user61gmail.com,,2025-03-14,XX,abc,
,John,user62gmail.com,abcdefghij,2025-99-99,KA,24991,Inactive
,Meena,invalid-email,,2025-99-99,,,Inactive
ID-64,,user64gmail.com,999999999999999,2025-99-99,,79723,Inactive
,12345,,,2025-05-18,,72176,
ID-66,12345,user66@,9615499115,,,,Inactive
C67@@,,user67@,abcdefghij,32/13/2025,,,Active
C0068,Arun,user68@gmail.com,9608718339,,,149261,Inactive
C69@@,Divya,user69@,,,,116911,Unknown
,Karthik,,12345,,,abc,
,John,user71@,9418266319,,,,Active
,Priya,invalid-email,999999999999999,2025-10-24,AP,abc,Unknown
ID-73,Priya,invalid-email,9821016344,,123,143598,Inactive
C74@@,!!!,user74gmail.com,9458382099,,,,
ID-75,Divya,user75gmail.com,999999999999999,,AP,,
,,user76@,12345,,,abc,Active
C0077,Arun,invalid-email,9635100826,,KA,-5000,Pending
,,user78@,999999999999999,32/13/2025,XX,abc,
C79@@,,invalid-email,999999999999999,2025-99-99,,,
C80@@,Karthik,,999999999999999,32/13/2025,KA,,Inactive
C81@@,Arun,user81@,9797277466,32/13/2025,XX,,Active
ID-82,,invalid-email,999999999999999,,XX,,
ID-83,Rahul,user83gmail.com,999999999999999,,KA,,Unknown
,!!!,invalid-email,999999999999999,,XX,,Active
,12345,user85gmail.com,,2025-99-99,AP,,Unknown
ID-86,Divya,,999999999999999,,,141443,Unknown
C0087,Arun,user87@gmail.com,abcdefghij,32/13/2025,AP,,
,Sara,user88gmail.com,999999999999999,,AP,,Unknown
,,invalid-email,,32/13/2025,AP,,Pending
,Divya,user90@,12345,2025-99-99,KA,-5000,
C0091,Arun,user91@,12345,,123,,Active
,Meena,user92gmail.com,999999999999999,32/13/2025,AP,-5000,Pending
C0093,Karthik,,999999999999999,2025-99-99,,-5000,
,Sara,invalid-email,12345,,123,,Inactive
C95@@,12345,user95@gmail.com,,32/13/2025,123,,Inactive
C96@@,John,user96gmail.com,,2025-12-22,,-5000,Pending
ID-97,Arun,user97@,999999999999999,,123,,
C0098,John,,,,123,142030,Pending
,,invalid-email,abcdefghij,,KA,,Active
C100@@,Priya,invalid-email,,2025-99-99,,abc,Unknown
