Customer_Code,Customer_Name,Email_Address,Phone_Number,Registration_Date,City,Credit_Score,Membership_Status
CUST0001,User 1,user1@example.com,9179512912,2025-04-08,Mumbai,314,Pending
CUST0003,User 3,user3@example.com,9147531625,2025-10-14,Hyderabad,665,Active
CUST0004,User 4,user4@example.com,9865642821,2025-09-23,Bangalore,730,Pending
CUST0005,User 5,user5@example.com,9211970267,2025-09-02,Hyderabad,520,Pending
CUST0006,User 6,user6@example.com,9398598880,2025-01-07,Delhi,451,Inactive
CUST0007,User 7,user7@example.com,9737717129,2025-05-16,Hyderabad,719,Inactive
CUST0011,User 11,user11@example.com,9942845099,2025-07-25,Chennai,528,Inactive
CUST0012,User 12,user12@example.com,9552255918,2025-08-22,Chennai,668,Inactive
CUST0013,User 13,user13@example.com,9773724260,2025-01-09,Delhi,623,Active
CUST0014,User 14,user14@example.com,9661773561,2025-03-23,Hyderabad,695,Active
CUST0015,User 15,user15@example.com,9247974810,2025-03-05,Chennai,772,Inactive
CUST0016,User 16,user16@example.com,9493867656,2025-03-13,Mumbai,836,Inactive
CUST0017,User 17,user17@example.com,9957176821,2025-06-26,Bangalore,435,Pending
CUST0019,User 19,user19@example.com,9710143261,2025-04-02,Bangalore,605,Active
CUST0020,User 20,user20@example.com,9134020783,2025-09-22,Chennai,841,Pending
CUST0021,User 21,user21@example.com,9766597060,2025-07-13,Chennai,815,Inactive
CUST0023,User 23,user23@example.com,9509682462,2025-11-02,Mumbai,446,Active
CUST0024,User 24,user24@example.com,9333066962,2025-12-03,Chennai,447,Active
CUST0026,User 26,user26@example.com,9464081539,2025-11-24,Mumbai,832,Inactive
CUST0027,User 27,user27@example.com,9715416035,2025-11-04,Hyderabad,698,Pending
CUST0028,User 28,user28@example.com,9382591552,2025-08-06,Hyderabad,698,Inactive
CUST0029,User 29,user29@example.com,9363837928,2025-07-10,Chennai,770,Active
CUST0031,User 31,user31@example.com,9691835277,2025-12-17,Mumbai,587,Active
CUST0034,User 34,user34@example.com,9133110399,2025-07-09,Hyderabad,892,Active
CUST0035,User 35,user35@example.com,9299199891,2025-05-26,Delhi,876,Active
CUST0036,User 36,user36@example.com,9104929860,2025-12-01,Chennai,340,Pending
CUST0039,User 39,user39@example.com,9396871786,2025-06-28,Delhi,845,Active
CUST0042,User 42,user42@example.com,9982058495,2025-10-07,Delhi,882,Pending
CUST0043,User 43,user43@example.com,9875643178,2025-09-02,Chennai,400,Pending
CUST0044,User 44,user44@example.com,9854062370,2025-03-13,Mumbai,335,Inactive
CUST0045,User 45,user45@example.com,9764693126,2025-12-11,Delhi,780,Active
